TEAM,GAME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,ELO
7,65,41,84,0.488,8,23,0.348,15,22,0.682,7,37,44,30,5,5,8,17,1624
7,66,36,82,0.439,3,12,0.25,23,32,0.719,11,34,45,18,5,1,10,30,1617
7,67,31,77,0.403,6,18,0.333,22,31,0.71,9,30,39,16,10,9,20,32,1610
7,68,38,78,0.487,4,21,0.19,14,21,0.667,11,36,47,25,12,2,20,28,1616
7,69,41,81,0.506,5,16,0.313,10,15,0.667,7,29,36,26,10,2,18,22,1623
7,70,43,78,0.551,9,26,0.346,26,35,0.743,11,27,38,27,2,4,14,25,1624
7,71,38,83,0.458,6,16,0.375,24,37,0.649,17,21,38,21,4,4,12,26,1611
7,72,34,81,0.42,2,9,0.222,21,28,0.75,13,42,55,22,5,7,12,17,1617
7,73,34,80,0.425,4,12,0.333,24,28,0.857,13,30,43,18,6,10,13,22,1621
7,74,42,82,0.512,10,18,0.556,19,23,0.826,11,34,45,28,7,4,14,17,1636
7,75,36,86,0.419,9,25,0.36,11,15,0.733,16,21,37,14,7,5,10,18,1632
7,76,28,82,0.341,3,19,0.158,22,25,0.88,8,33,41,11,8,7,13,21,1620
7,77,37,75,0.493,4,13,0.308,18,27,0.667,9,34,43,23,3,8,8,17,1625
7,78,42,76,0.553,5,13,0.385,23,26,0.885,7,40,47,29,8,11,14,28,1632
7,79,35,77,0.455,4,16,0.25,22,26,0.846,7,38,45,15,5,3,9,25,1637
7,80,39,87,0.448,11,23,0.478,31,40,0.775,8,37,45,27,7,2,19,32,1629
7,81,41,80,0.513,5,14,0.357,24,30,0.8,9,32,41,25,6,2,10,24,1631
7,82,44,101,0.436,8,24,0.333,13,16,0.813,15,35,50,22,12,2,9,23,1640
8,1,37,79,0.468,7,10,0.7,15,18,0.833,9,40,49,19,8,7,15,17,1509
8,2,41,80,0.513,10,19,0.526,25,33,0.758,14,37,51,28,7,3,16,19,1544
8,3,33,87,0.379,6,17,0.353,32,43,0.744,15,38,53,18,8,5,15,25,1554
8,4,33,85,0.388,8,22,0.364,32,45,0.711,15,39,54,14,12,9,12,17,1560
8,5,42,79,0.532,9,17,0.529,18,23,0.783,14,36,50,26,13,10,18,19,1569
8,6,42,95,0.442,2,13,0.154,20,26,0.769,20,28,48,16,13,5,15,19,1578
8,7,32,78,0.41,6,16,0.375,23,28,0.821,9,31,40,20,11,4,9,19,1587
8,8,40,95,0.421,4,19,0.211,11,16,0.688,16,27,43,24,8,5,11,30,1564
8,9,46,98,0.469,5,15,0.333,19,25,0.76,14,29,43,27,16,11,15,24,1567
8,10,42,90,0.467,10,21,0.476,11,14,0.786,9,32,41,25,6,5,7,19,1580
